drug	tau	P-value
BRD-A39996500-001-01-4_1.11um_3_4	-0.0119906850159168	0.580697119235992
BRD-A39996500-001-01-4_10.0um_24_0	0.0421426482498646	0.0521837472915649
BRD-A39996500-001-01-4_10.0um_24_25	0.0230526812374592	0.288214921951294
BRD-A39996500-001-01-4_10.0um_3_0	-0.0465227887034416	0.0320786237716675
BRD-A39996500-001-01-4_10.0um_3_4	0.0330296382308006	0.1280757188797
BRD-A39996500-001-01-4_3.33um_24_0	0.0182550419121981	0.400350093841553
BRD-A39996500-001-01-4_3.33um_24_25	0.010865512304008	0.616705894470215
BRD-A39996500-001-01-4_3.33um_3_0	0.0216484218835831	0.318596601486206
BRD-A39996500-001-01-4_3.33um_3_4	-0.0137699926272035	0.525854110717773
BRD-A41692738-001-06-8_0.04um_24_0	0.00165873754303902	0.939161896705627
BRD-A41692738-001-06-8_0.04um_24_25	0.00321701308712363	0.882247447967529
BRD-A41692738-001-06-8_0.04um_3_0	0.0183086227625608	0.398968458175659
BRD-A41692738-001-06-8_0.04um_3_4	-0.0156921483576298	0.46973443031311
BRD-A41692738-001-06-8_0.12um_24_0	0.00315896840766072	0.884358525276184
BRD-A41692738-001-06-8_0.12um_24_25	0.0013774442486465	0.949477672576904
BRD-A41692738-001-06-8_0.12um_3_0	-0.00698991538956761	0.747485458850861
BRD-A41692738-001-06-8_0.12um_3_4	0.0355032347142696	0.101901412010193
BRD-A41692738-001-06-8_0.37um_24_0	0.0210635103285313	0.331849098205566
BRD-A41692738-001-06-8_0.37um_24_25	-0.00590492691844702	0.785648167133331
BRD-A41692738-001-06-8_0.37um_3_0	-0.0052217859774828	0.809950113296509
BRD-A41692738-001-06-8_0.37um_3_4	0.033444881439209	0.12334930896759
BRD-A41692738-001-06-8_1.11um_24_0	0.032136645168066	0.138715982437134
BRD-A41692738-001-06-8_1.11um_24_25	0.0452324114739895	0.0371624231338501
BRD-A41692738-001-06-8_1.11um_3_0	0.0108610466122627	0.616850614547729
BRD-A41692738-001-06-8_1.11um_3_4	-0.0208268668502569	0.337310552597046
BRD-A41692738-001-06-8_10.0um_24_0	0.00420823693275452	0.846339344978333
BRD-A41692738-001-06-8_10.0um_24_25	-0.0210099313408136	0.333080589771271
BRD-A41692738-001-06-8_10.0um_3_0	0.0519566610455513	0.0166751146316528
BRD-A41692738-001-06-8_10.0um_3_4	-0.0211036950349808	0.330927312374115
BRD-A41692738-001-06-8_3.33um_24_0	0.0708211734890938	0.00110244750976562
BRD-A41692738-001-06-8_3.33um_24_25	-0.0364230163395405	0.0933307409286499
BRD-A41692738-001-06-8_3.33um_3_0	-0.0394591987133026	0.0690678656101227
BRD-A41692738-001-06-8_3.33um_3_4	-0.0392538122832775	0.0705267935991287
BRD-A45498368-001-06-3_0.04um_24_0	0.00299376435577869	0.890371203422546
BRD-A45498368-001-06-3_0.04um_24_25	-0.00442255567759275	0.838614583015442
BRD-A45498368-001-06-3_0.04um_3_0	-0.022085988894105	0.308912396430969
BRD-A45498368-001-06-3_0.04um_3_4	-0.0191435720771551	0.377811849117279
BRD-A45498368-001-06-3_0.12um_24_0	0.0340342558920383	0.116876006126404
BRD-A45498368-001-06-3_0.12um_24_25	-0.0342083908617496	0.115015380084515
BRD-A45498368-001-06-3_0.12um_3_0	-0.00159176287706941	0.94161719083786
BRD-A45498368-001-06-3_0.12um_3_4	-0.00720869889482856	0.739861130714417
BRD-A45498368-001-06-3_0.37um_24_0	0.0468442663550377	0.0309090614318848
BRD-A45498368-001-06-3_0.37um_24_25	-0.0226173214614391	0.297417342662811
BRD-A45498368-001-06-3_0.37um_3_0	-0.0377669744193554	0.0818578824400902
BRD-A45498368-001-06-3_0.37um_3_4	0.00286428024992347	0.895088195800781
BRD-A45498368-001-06-3_1.11um_24_0	0.067311704158783	0.00192689895629883
BRD-A45498368-001-06-3_1.11um_24_25	0.0512199401855469	0.0182822942733765
BRD-A45498368-001-06-3_1.11um_3_0	0.00186859129462391	0.931472539901733
BRD-A45498368-001-06-3_1.11um_3_4	-0.0163484998047352	0.451358258724213
BRD-A45498368-001-06-3_10.0um_24_0	0.0310025401413441	0.153195142745972
BRD-A45498368-001-06-3_10.0um_24_25	-0.0435580462217331	0.0447678156197071
BRD-A45498368-001-06-3_10.0um_3_0	-0.0443528108298779	0.0410080850124359
BRD-A45498368-001-06-3_10.0um_3_4	-0.0115843722596765	0.593586564064026
BRD-A45498368-001-06-3_3.33um_24_0	-0.0134730562567711	0.534818887710571
BRD-A45498368-001-06-3_3.33um_24_25	-0.0122362589463592	0.572970867156982
BRD-A45498368-001-06-3_3.33um_3_0	-0.00869106967002153	0.688908100128174
BRD-A45498368-001-06-3_3.33um_3_4	-0.000890762137714773	0.967344582080841
