drug	tau	P-value
BRD-A21584801-001-03-0_0.04um_3_0	-0.0111264977604151	0.628162145614624
BRD-A21584801-001-03-0_0.04um_3_4	0.0332955606281757	0.147188186645508
BRD-A21584801-001-03-0_0.12um_24_0	0.0530306175351143	0.0209558010101318
BRD-A21584801-001-03-0_0.12um_24_25	-0.0631471425294876	0.00597328273579478
BRD-A21584801-001-03-0_0.12um_3_0	0.015960942953825	0.487179160118103
BRD-A21584801-001-03-0_0.12um_3_4	0.0381411984562874	0.0968120098114014
BRD-A21584801-001-03-0_0.37um_24_0	-0.0100857494398952	0.660660028457642
BRD-A21584801-001-03-0_0.37um_24_25	-0.000657462165690958	0.977260589599609
BRD-A21584801-001-03-0_0.37um_3_0	0.0254172068089247	0.268501877784729
BRD-A21584801-001-03-0_0.37um_3_4	0.0516261644661427	0.0245996713638306
BRD-A21584801-001-03-0_1.11um_24_0	-0.0185516234487295	0.419321894645691
BRD-A21584801-001-03-0_1.11um_24_25	-0.0405919924378395	0.0771922618150711
BRD-A21584801-001-03-0_1.11um_3_0	-0.0137787275016308	0.548645615577698
BRD-A21584801-001-03-0_1.11um_3_4	0.0198553558439016	0.387389302253723
BRD-A21584801-001-03-0_10.0um_24_0	0.0339837968349457	0.139006614685059
BRD-A21584801-001-03-0_10.0um_24_25	-0.0358862429857254	0.118210047483444
BRD-A21584801-001-03-0_10.0um_3_0	0.0146068502217531	0.524876475334167
BRD-A21584801-001-03-0_10.0um_3_4	0.0142039796337485	0.536373615264893
BRD-A21584801-001-03-0_3.33um_24_0	0.00661099143326283	0.773565292358398
BRD-A21584801-001-03-0_3.33um_24_25	-0.0308503620326519	0.179248183965683
BRD-A21584801-001-03-0_3.33um_3_0	-0.0144501784816384	0.529332518577576
BRD-A21584801-001-03-0_3.33um_3_4	0.0347223952412605	0.130620837211609
BRD-A24396574-001-04-9_0.04um_24_0	-0.0030970664229244	0.892832040786743
BRD-A24396574-001-04-9_0.04um_24_25	-0.0448836795985699	0.0506928451359272
