SM_ID	Pert_ID	SM_Name	SM_Alternative_Name	SM_PubChem_CID
LSM-44940	BRD-K82484347	31483	1	73010924
LSM-6324	BRD-K82928847	37702	11312	53340666
LSM-6338	BRD-K83189926	41936	1	57339144
LSM-6329	BRD-K83452553	30315	1	15331
LSM-1066	BRD-K83963101	32558	9311	11712649
LSM-1092	BRD-K83972459	38154	8852	57340671
LSM-43290	BRD-K86797399	37437	11124	49855250
LSM-6325	BRD-K86856088	41934	1	46224516
LSM-1146	BRD-K87142802	42003	3855	11960529
LSM-1187	BRD-K87904882	28455	7711	2703
LSM-4947	BRD-K88560311	37779	11377	9931954
LSM-6283	BRD-K89391146	37678	1	702558
LSM-1169	BRD-K91900765	42090	11938	3038525
LSM-1013	BRD-K92428232	31479	8615	15983966
LSM-1207	BRD-K93123848	29987	7718	11656518
LSM-1037	BRD-K93918653	37608	11235	24889392
LSM-43291	BRD-K94335714	1792	1	11381449
LSM-1022	BRD-K97056771	31652	1	5311510
LSM-1036	BRD-K98143437	38049	1	5166
LSM-6328	BRD-K98203492	31469	1	71729975
LSM-6339	BRD-K98251413	31810	1	54685215
LSM-1042	BRD-K99616396	36379	9439	11667893
LSM-1190	BRD-K99964838	4944	4254	5328940
LSM-1032	BRD-U07805514	38020	11440	10302451
LSM-42798	BRD-U24835547	31471	1	23582824
LSM-1041	BRD-U70626184	4864	4210	11364421
LSM-1041	BRD-U70626184	4864	4210	11364421
LSM-44932	BRD-A13254067	37088	1	446512
LSM-45141	BRD-A14634327	38239	8611	67468030
LSM-45142	BRD-A18705706	31766	1	328839
LSM-42814	BRD-A19037878	41835	11807	6376322
LSM-1471	BRD-A34255068	37748	1	5092
LSM-4412	BRD-A35108200	1816	1	3003
LSM-42750	BRD-A48881734	30241	1	71712226
LSM-45143	BRD-A55453956	30214	1	22312320
LSM-36364	BRD-A65730376	30707	1	56962336
LSM-5123	BRD-A67788537	37998	11429	53393948
LSM-36363	BRD-A69563582	30706	1	57345410
LSM-45144	BRD-A72575012	28273	1	4331
LSM-1824	BRD-A81177136	31960	1	3838
LSM-36971	BRD-K06692906	31445	8591	5280647
LSM-42789	BRD-K11528507	31372	1	5288382
LSM-42761	BRD-K16761703	39976	11530	10296883
LSM-1103	BRD-K17953061	40630	1	44259
LSM-4923	BRD-K26863634	4902	4233	56676725
LSM-2597	BRD-K27305650	32230	9068	3973
LSM-42752	BRD-K31406481	29882	9524	25105704
LSM-2787	BRD-K35960502	36943	10808	4477
LSM-6348	BRD-K37798499	30839	8385	36462
LSM-19036	BRD-K52313696	41542	11589	2746
LSM-36366	BRD-K57754230	30708	1	60160561
LSM-44933	BRD-K61688984	37685	1	56650312
LSM-5317	BRD-K64634304	1813	11298	1071
LSM-42753	BRD-K65592642	38304	11477	9843750
LSM-37157	BRD-K65716359	30859	8395	40399
LSM-43009	BRD-K69608737	41544	11591	445643
LSM-43102	BRD-K74148702	28193	1	16760039
LSM-4942	BRD-K74236984	41933	1	46901937
LSM-45145	BRD-K86787118	31577	1	23863714
LSM-45146	BRD-K87124298	37133	10903	0
LSM-36368	BRD-K87465484	41935	1	53315882
LSM-36369	BRD-K90860366	32483	1	54765302
LSM-42758	BRD-K92123432	31391	8560	5271805
LSM-42773	BRD-K92960067	1689	1	568763
LSM-42804	BRD-K93480852	31962	1	5312122
LSM-4192	BRD-K97118047	41638	7792	1694
LSM-NA	BRD-K49075727	NA	NA	135423438
LSM-NA	BRD-K73368362	NA	NA	135659062
LSM-NA	BRD-U86686840	NA	NA	0
